id,y,x,osmid
67846,-12.1654478,-76.8938175,3739384691
67848,-12.1658038,-76.8932996,3739384693
67849,-12.1659695,-76.8861521,3739384694
67850,-12.1660946,-76.8855647,3739384695
67852,-12.166487,-76.8899795,3739384697
68768,-12.2197834,-76.8909295,3740697231
68769,-12.2195826,-76.8880901,3740697232
68773,-12.2216897,-76.8908151,3740697237
68774,-12.2214855,-76.8879315,3740697238
68776,-12.221354,-76.8859948,3740697239
68778,-12.2199121,-76.8920377,3740697242
68781,-12.2186984,-76.8900692,3740697244
68783,-12.2185797,-76.8881451,3740697245
68786,-12.2140598,-76.8832973,3740697249
68787,-12.2168492,-76.8902536,3740697250
68788,-12.2177405,-76.8901142,3740697251
68789,-12.2176079,-76.8884453,3740697253
68791,-12.2178006,-76.8907992,3740697252
68794,-12.2166089,-76.8884328,3740697258
68802,-12.2129101,-76.8853449,3740697281
68809,-12.2160038,-76.8902588,3740697295
68880,-12.2200715,-76.8952847,3740697442
68897,-12.2206013,-76.8949657,3740697462
68914,-12.2199767,-76.8857346,3740697507
68917,-12.2191073,-76.8937861,3740697511
68918,-12.2201576,-76.8935815,3740697512
68919,-12.2216745,-76.8935153,3740697513
68922,-12.2180887,-76.8922977,3740697520
68923,-12.2195753,-76.891831,3740697521
69220,-12.2426511,-76.8510058,4923229542
72673,-12.1740459,-76.847834,3802309480
74280,-12.2221917,-76.8949433,6242087554
74282,-12.2176998,-76.8944934,6242087559
74283,-12.2179557,-76.8948544,6242087560
74286,-12.2178208,-76.8938634,6242087563
74582,-12.2168707,-76.8828201,4990631810
74586,-12.2168561,-76.8854228,4990631812
74592,-12.2152963,-76.8876812,4990631814
74791,-12.263885,-76.7754392,4989040604
75084,-12.2187062,-76.8825162,3740711691
75086,-12.2178113,-76.8802821,3740711693
75087,-12.2174941,-76.8798828,3740711694
75088,-12.2173445,-76.8793375,3740711695
75093,-12.2180559,-76.8831568,3740711704
75094,-12.2184399,-76.8829409,3740711705
75096,-12.2178844,-76.8826985,3740711709
75097,-12.2186692,-76.8824091,3740711710
75098,-12.2177433,-76.8822798,3740711711
75099,-12.2185217,-76.8819831,3740711712
75100,-12.2175632,-76.8818525,3740711713
75101,-12.2183975,-76.881556,3740711714
75102,-12.2174447,-76.8814323,3740711715
75103,-12.2182808,-76.8810892,3740711716
75104,-12.2172986,-76.8809957,3740711717
75105,-12.2181359,-76.8807053,3740711718
75106,-12.2171001,-76.8805225,3740711719
75107,-12.2170911,-76.8800388,3740711720
75108,-12.2185219,-76.8843944,3740711721
75113,-12.2170232,-76.8802569,3740711726
75115,-12.2168465,-76.8797342,3740711730
75118,-12.2148323,-76.8804615,3740711736
75120,-12.2148206,-76.8840006,3740711737
75121,-12.2171241,-76.8805943,3740711738
75127,-12.214868,-76.8822671,3740711745
75128,-12.2163491,-76.8800738,3740711746
75129,-12.2154047,-76.8831369,3740711747
75140,-12.2160928,-76.8821192,3740711767
75141,-12.2156258,-76.8811448,3740711768
75146,-12.2139446,-76.8853637,3740711777
76233,-12.2219285,-76.7070268,4989043111
79170,-12.2189311,-76.8816617,4804763234
79287,-12.221837,-76.8860123,4804763482
82079,-12.2094964,-76.8544273,914290204
83459,-12.2145285,-76.8857361,4990631807
83460,-12.2150857,-76.8854661,4990631808
83462,-12.2177254,-76.8860303,4990631805
83464,-12.2153818,-76.8843927,4990631806
83468,-12.2156769,-76.8845989,4990631809
83470,-12.2181286,-76.8834716,4990631811
83474,-12.2183682,-76.8840337,4990631815
83475,-12.2181245,-76.8841314,4990631817
83476,-12.217129,-76.8856135,4990631818
83477,-12.2165283,-76.8864601,4990631819
